SampleID,SampleNumber,Project,Location,SiteID,ProfileID,NatBiome,CoverType,Position,Lithology,SoilFormation,MinDepth,MaxDepth,MidDepth,Horizon_Full,Horizon,Extractant,ppm_NH4.N,ugNH4.N_gDrySoil,ppm_NO3.N,ugNO3.N_gDrySoil,ppm_PO4.P,ugPO4.P_gDrySoil,RootMass_mg_gsoil,pH,STL_SoilP_ExtractionMethod,STL_SoilP_ppm,STL_ugP_gDrySoil,Soil_PercC,Soil_MgCg,SoilPO4.P_ug_g,MAP,DomVeg,P_Efficiency
CC3-FRES-21-61,283,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,21,61,41,2Bt2,B,Malic Acid,0.2072,1.151197681,0,0,1.422908347,7.905640876,18.13552044,NA,Mehlich-3,61,610,2.06325,20.6325,1.4005,600,Evergreen woody spp,0.012960067
CC3-FRES-21-61,64,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,21,61,41,2Bt2,B,Oxalic Acid,0.232,1.288985821,0,0,5.67638484,31.53784298,18.13552044,NA,Mehlich-3,61,610,2.06325,20.6325,1.4005,600,Evergreen woody spp,0.051701382
CC3-FRES-61-92,284,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,61,92,76.5,2Bt3,B,Malic Acid,0.1911,1.087089635,0,0,1.422908347,8.094342832,8.49829502,6.09,Mehlich-3,64,640,2.32886,23.2886,1.0807,600,Evergreen woody spp,0.012647411
CC3-FRES-61-92,503,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,61,92,76.5,2Bt3,B,Apase,0.0885,0.505438034,0,0,0.1094,0.624801366,8.49829502,6.09,Mehlich-3,64,640,2.32886,23.2886,1.0807,600,Evergreen woody spp,0.000976252
CC3-FRES-61-92,65,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,61,92,76.5,2Bt3,B,Oxalic Acid,0.191,1.086520776,0,0,3.377065112,19.21074034,8.49829502,6.09,Mehlich-3,64,640,2.32886,23.2886,1.0807,600,Evergreen woody spp,0.030016782
CC4-FRES-0-1,66,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,0,1,0.5,Oi,O,Oxalic Acid,0.273,1.39431685,0.3704,1.891776415,1.752186589,8.949096286,NA,NA,Mehlich-3,47,470,4.58535,45.8535,0.8032,600,Deciduous woody spp,0.01904063
CC4-FRES-0-1,504,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium,0,1,0.5,Oi,O,Apase,0.2432,1.244600929,0.3725,1.906306933,0.4349,2.22564533,NA,NA,Mehlich-3,47,470,4.58535,45.8535,0.8032,600,Deciduous woody spp,0.004735416
CC4-FRES-0-1,285,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,0,1,0.5,Oi,O,Malic Acid,0.4396,2.254206474,0.1992,1.021469358,1.371773644,7.034260759,NA,NA,Mehlich-3,47,470,4.58535,45.8535,0.8032,600,Deciduous woody spp,0.014966512
CC4-FRES-1-10,505,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium,1,10,5.5,A,A,Apase,0.1098,0.595444828,0.2827,1.533080626,0.2232,1.210412436,5.371641479,6.2,Mehlich-3,40,400,1.61022,16.1022,0.3024,600,Deciduous woody spp,0.003026031
CC4-FRES-1-10,67,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,1,10,5.5,A,A,Oxalic Acid,0.2907,1.582708009,0.1908,1.038805256,1.285714286,7.000035422,5.371641479,6.2,Mehlich-3,40,400,1.61022,16.1022,0.3024,600,Deciduous woody spp,0.017500089
CC4-FRES-1-10,286,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,1,10,5.5,A,A,Malic Acid,0.369,2.021016202,0.1082,0.592612339,0.66202396,3.625910974,5.371641479,6.2,Mehlich-3,40,400,1.61022,16.1022,0.3024,600,Deciduous woody spp,0.009064777
CC4-FRES-10-40,287,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,10,40,25,Bw,B,Malic Acid,0.2492,1.360130569,0,0,0.335911872,1.833402912,3.432532925,NA,Mehlich-3,21,210,2.2644,22.644,0.0867,600,Deciduous woody spp,0.00873049
CC4-FRES-10-40,506,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium,10,40,25,Bw,B,Apase,0.0736,0.399316786,0.0547,0.29677484,0.027,0.146488495,3.432532925,NA,Mehlich-3,21,210,2.2644,22.644,0.0867,600,Deciduous woody spp,0.000697564
CC4-FRES-10-40,68,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,10,40,25,Bw,B,Oxalic Acid,0.3159,1.72074374,0,0,0.828960155,4.515441586,3.432532925,NA,Mehlich-3,21,210,2.2644,22.644,0.0867,600,Deciduous woody spp,0.021502103
CC4-FRES-40-58,288,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,40,58,49,CBw1,C,Malic Acid,0.1482,0.844078225,0,0,0.422036,2.403720633,1.384842871,5.82,Mehlich-3,22,220,1.63533,16.3533,0.1749,600,Deciduous woody spp,0.010926003
CC4-FRES-40-58,69,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,40,58,49,CBw1,C,Oxalic Acid,0.205,1.160606992,0,0,1.223517979,6.926944008,1.384842871,5.82,Mehlich-3,22,220,1.63533,16.3533,0.1749,600,Deciduous woody spp,0.031486109
CC4-FRES-40-58,507,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium,40,58,49,CBw1,C,Apase,0.0683,0.386680281,0.0103,0.058313424,0.0142,0.080393265,1.384842871,5.82,Mehlich-3,22,220,1.63533,16.3533,0.1749,600,Deciduous woody spp,0.000365424
CC4-FRES-58-73,70,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,58,73,65.5,2CBw2,C,Oxalic Acid,0.2292,1.254318369,0,0,2.442176871,13.36504061,1.245358063,NA,Mehlich-3,19,190,2.63843,26.3843,0.2272,600,Deciduous woody spp,0.070342319
CC4-FRES-58-73,289,FRES,Coal Creek ,Coal Creek (FRES),CC4,Alpine Forest,Aspen,Toeslope,Sandstone,Colluvium/Residuum,58,73,65.5,2CBw2,C,Malic Acid,0.1625,0.88576043,0,0,0.398284422,2.170982037,1.245358063,NA,Mehlich-3,19,190,2.63843,26.3843,0.2272,600,Deciduous woody spp,0.011426221
